序号,物质名称,物质描述,EC号,CAS号,纳入日期,SVHC判定依据,ECHA决定/法规记录,法规结果日期
21,1-bromopropane (n-propyl bromide),,203-445-0,106-94-5,19-Dec-2012,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=1e3d4a901b44bdd699c12f839ff3503d_decision_cand_list_20121219_en.pdf,19-Dec-2012
22,1-Methyl-2-pyrrolidone (NMP),,212-828-1,872-50-4,20-Jun-2011,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=961c18fa0e375c0ebefe2d18bfb91b28_ed_31_2011_en.pdf,20-Jun-2011
23,1-vinylimidazole,,214-012-0,1072-63-5,25-Jun-2020,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=f5464c3f20c9bd29f0576a252f755398_D(2020)4578-DC.pdf,25-Jun-2020
24,"2,2',6,6'-tetrabromo-4,4'-isopropylidenediphenol",,201-236-9,79-94-7,17-Jan-2023,Carcinogenic (Article 57a),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=53a592b467a3b44253c93534d6efcdc8_D(2022)9120-DC.pdf,17-Jan-2023
25,"2,2'-dichloro-4,4'-methylenedianiline",,202-918-9,101-14-4,19-Dec-2011,Carcinogenic (Article 57a),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=48c1751f53cc33f425b82a9be2dc5f1a_ed_77_2011_en.pdf,19-Dec-2011
26,"2,2-bis(4'-hydroxyphenyl)-4-methylpentane",,401-720-1,6807-17-6,15-Jan-2019,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=afe5e2019a13c896fbbaf60619f165c6_ED_88_2018.pdf,15-Jan-2019
27,"2,2-bis(bromomethyl)propane-1,3-diol (BMP); 2,2-dimethylpropan-1-ol, tribromo derivative/3-bromo-2,2-bis(bromomethyl)-1-propanol (TBNPA); 2,3-dibromo-1-propanol (2,3-DBPA)",,,,08-Jul-2021,Carcinogenic (Article 57a),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=fbd6c3bc3207b794b78f3d8b1caebc5b_D(2021)4569-DC.pdf,08-Jul-2021
28,"2,3,3,3-tetrafluoro-2-(heptafluoropropoxy)propionic acid, its salts and its acyl halides",,799-974-4,,16-Jul-2019,"Equivalent level of concern having probable serious effects to human health (Article 57(f) - human health)
Equivalent level of concern having probable serious effects to the environment (Article 57(f) - environment)",https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=0cfde5caea3b082e4b06550cfecdbdee_ED_71_2019.pdf,16-Jul-2019
29,"2,4,6-tri-tert-butylphenol",,211-989-5,732-26-3,23-Jan-2024,"Toxic for reproduction (Article 57c)
PBT (Article 57d)",https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=fef9554fe3df1373dab48ac23aaea4b3_D(2023)8585-DC.pdf,23-Jan-2024
30,"2,4-di-tert-butyl-6-(5-chlorobenzotriazol-2-yl)phenol (UV-327)",,223-383-8,3864-99-1,17-Dec-2015,vPvB (Article 57e),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=28dae5e63e8cc0c2c88a2a09e2d59ef2_ED_Decision_79_2015.pdf,17-Dec-2015
31,"2,4-dinitrotoluene",,204-450-0,121-14-2,13-Jan-2010,Carcinogenic (Article 57a),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=0b5082438e3c9fd6c0438ec5eaf408b8_ed_68_2009_en.pdf,13-Jan-2010
32,"2-(2H-benzotriazol-2-yl)-4,6-ditertpentylphenol (UV-328)",,247-384-8,25973-55-1,17-Dec-2014,"PBT (Article 57d)
vPvB (Article 57e)",https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=737f88cb4a97b3c5a33dc26b67ca1db9_ed_108_2014_cand_list_en.pdf,17-Dec-2014
33,"2-(2H-benzotriazol-2-yl)-4-(1,1,3,3-tetramethylbutyl)phenol (UV-329)",,221-573-5,3147-75-9,23-Jan-2024,vPvB (Article 57e),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=ac24ec95171ca4727410059720947dc3_D(2023)8585-DC.pdf,23-Jan-2024
