序号,物质名称,物质描述,EC号,CAS号,纳入日期,SVHC判定依据,ECHA决定/法规记录,法规结果日期
79,Ammonium pentadecafluorooctanoate (APFO),,223-320-4,3825-26-1,20-Jun-2013,"Toxic for reproduction (Article 57c)
PBT (Article 57d)",https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=062755e7674960b52ae3d3d8d31037e5_decision_cand_list_20120620_en.pdf,20-Jun-2013
80,Anthracene,,204-371-1,120-12-7,28-Oct-2008,PBT (Article 57d),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=3d9b8df8a56fa6925996b00e72609a9f_ed_67_2008_en.pdf,28-Oct-2008
81,Anthracene oil,"A complex combination of polycyclic aromatic hydrocarbons obtained from coal tar having an approximate distillation range of 300°C to 400°C (572°F to 752°F). Composed primarily of phenanthrene, anthracene and carbazole",292-602-7,90640-80-5,13-Jan-2010,"Carcinogenic (Article 57a)
PBT (Article 57d)
vPvB (Article 57e)",https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=e620573f7327a4ca450a2b004d1226cf_ed_68_2009_en.pdf,13-Jan-2010
82,"Anthracene oil, anthracene paste","The anthracene-rich solid obtained by the crystallization and centrifuging of anthracene oil. It is composed primarily of anthracene, carbazole and phenanthrene.",292-603-2,90640-81-6,13-Jan-2010,"Carcinogenic (Article 57a)
Mutagenic (Article 57b)
PBT (Article 57d)
vPvB (Article 57e)",https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=9b2757e4035df65d3347282b9a3d12b9_ed_68_2009_en.pdf,13-Jan-2010
83,"Anthracene oil, anthracene paste, anthracene fraction","A complex combination of hydrocarbons from the distillation of anthracene obtained by the crystallization of anthracene oil from bituminous high temperature tar and boiling in the range of 330°C to 350°C (626°F to 662°F). It contains chiefly anthracene, carbazole and phenanthrene.",295-275-9,91995-15-2,13-Jan-2010,"Carcinogenic (Article 57a)
Mutagenic (Article 57b)
PBT (Article 57d)
vPvB (Article 57e)",https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=be93bdf6262e3bdf9910671a367279b9_ed_68_2009_en.pdf,13-Jan-2010
84,"Anthracene oil, anthracene paste, distn. lights",A complex combination of hydrocarbons from the distillation of anthracene obtained by crystallization of anthracene oil from bituminous high temperature tar and boiling in the range of approximately 290°C to 340°C (554°F to 644°F). It contains chiefly trinuclear aromatics and their dihydro derivatives.,295-278-5,91995-17-4,13-Jan-2010,"Carcinogenic (Article 57a)
Mutagenic (Article 57b)
PBT (Article 57d)
vPvB (Article 57e)",https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=64444a0cb9b30e3e59c127c8af93e5f0_ed_68_2009_en.pdf,13-Jan-2010
85,"Anthracene oil, anthracene-low","The oil remaining after the removal, by a crystallization process, of an anthracene-rich solid (anthracene paste) from anthracene oil. It is composed primarily of two, three and four membered aromatic compounds.",292-604-8,90640-82-7,13-Jan-2010,"Carcinogenic (Article 57a)
Mutagenic (Article 57b)
PBT (Article 57d)
vPvB (Article 57e)",https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=6f37dadfa4c758292f58735adbf7bc00_ed_68_2009_en.pdf,13-Jan-2010
86,Arsenic acid,,231-901-9,7778-39-4,19-Dec-2011,Carcinogenic (Article 57a),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=020ec5f454aec6ab45556963ec195ed1_ed_77_2011_en.pdf,19-Dec-2011
87,Barium diboron tetraoxide,,237-222-4,13701-59-2,17-Jan-2023,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=88bb29068b6fcd7f6b0365389654a4d6_D(2022)9120-DC.pdf,17-Jan-2023
88,Benz[a]anthracene,,200-280-6,56-55-3,15-Jan-2018,"Carcinogenic (Article 57a)
PBT (Article 57d)
vPvB (Article 57e)",https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=644ddb65fb71c3dcd322d46baa58caec_SVHC_Decision_ED_01_2018.pdf,15-Jan-2018
89,"Benzene-1,2,4-tricarboxylic acid 1,2-anhydride",,209-008-0,552-30-7,27-Jun-2018,Respiratory sensitising properties (Article 57(f) - human health),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=159207c87e09d81a9d5eb0a0ad1fa521_ED_61_2018.pdf,27-Jun-2018
90,Benzo[def]chrysene (Benzo[a]pyrene),,200-028-5,50-32-8,20-Jun-2016,"Carcinogenic (Article 57a)
Mutagenic (Article 57b)
Toxic for reproduction (Article 57c)
PBT (Article 57d)
vPvB (Article 57e)",https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=3b757b3249b466f8ac7ae60e942aa1a3_ED_21_2016.pdf,20-Jun-2016
91,Benzo[ghi]perylene,,205-883-8,191-24-2,27-Jun-2018,"PBT (Article 57d)
vPvB (Article 57e)",https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=8066c6354a44231d2485d9425363783b_ED_61_2018.pdf,27-Jun-2018
92,Benzo[k]fluoranthene,,205-916-6,207-08-9,15-Jan-2019,"Carcinogenic (Article 57a)
PBT (Article 57d)
vPvB (Article 57e)",https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=7dd372d3f7e379b82ff34ea172127c06_ED_88_2018.pdf,15-Jan-2019
93,Benzyl butyl phthalate (BBP),,201-622-7,85-68-7,28-Oct-2008,"Toxic for reproduction (Article 57c)
Endocrine disrupting properties (Article 57(f) - human health)","https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=709c72b5dad4e28c2bed778b09dcd523_ED_30_2017.pdf
https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=c24c39f5a013c5fd4ddd917b6ae89139_ed_67_2008_en.pdf",07-Jul-2017 | 28-Oct-2008
94,Biphenyl-4-ylamine,,202-177-1,92-67-1,19-Dec-2012,Carcinogenic (Article 57a),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=411eb8ae18e3a3ccad39e7b335a1e768_decision_cand_list_20121219_en.pdf,19-Dec-2012
95,Bis (2-ethylhexyl)phthalate (DEHP),,204-211-0,117-81-7,28-Oct-2008,"Toxic for reproduction (Article 57c)
Endocrine disrupting properties (Article 57(f) - environment)
Endocrine disrupting properties (Article 57(f) - human health)","https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=1bfa96f1852c67c1920ebd08fc14d82c_ed_108_2014_cand_list_1417_en.pdf
https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=20a140f589d90cd8045bcc36489b8a30_ed_67_2008_en.pdf
https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=a1f2aed17060e8907fd4b593ebae3096_C_2017_4462_Commission_Implementing%20Decision.pdf
https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=a1f2aed17060e8907fd4b593ebae3096_ED_30_2017.pdf",07-Jul-2017 | 17-Dec-2014 | 28-Oct-2008
96,Bis(2-(2-methoxyethoxy)ethyl)ether,,205-594-7,143-24-8,19-Jan-2021,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=65dddfd4cce04482afbce1eba18af51b_D(2020)9139-DC.pdf,19-Jan-2021
97,bis(2-ethylhexyl) tetrabromophthalate covering any of the individual isomers and/or combinations thereof,,,,17-Jan-2023,vPvB (Article 57e),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=8da905cd8914b6606440a843d7f13e71_D(2022)9120-DC.pdf,17-Jan-2023
98,Bis(2-methoxyethyl) ether,,203-924-4,111-96-6,19-Dec-2011,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=3d788affbac7b8b8e3232b807b58e7a7_ed_77_2011_en.pdf,19-Dec-2011
99,Bis(2-methoxyethyl) phthalate,,204-212-6,117-82-8,19-Dec-2011,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=bad2afebcc8598189088da40f06c721f_ed_77_2011_en.pdf,19-Dec-2011
100,bis(4-chlorophenyl) sulphone,,201-247-9,80-07-9,14-Jun-2023,vPvB (Article 57e),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=638add096b8449a55744665018e6fb3c_D(2023)3788-DC.pdf,14-Jun-2023
101,Bis(pentabromophenyl) ether (decabromodiphenyl ether) (DecaBDE),,214-604-9,1163-19-5,19-Dec-2012,"PBT (Article 57d)
vPvB (Article 57e)",https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=e95e42864a9f4d7f40b9be71368f8d5a_decision_cand_list_20121219_en.pdf,19-Dec-2012
102,Bis(tributyltin) oxide (TBTO),,200-268-0,56-35-9,28-Oct-2008,PBT (Article 57d),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=608bca084810881a4a8a1ae5d6b98d95_ed_67_2008_en.pdf,28-Oct-2008
103,"Bis(α,α-dimethylbenzyl) peroxide",,201-279-3,80-43-3,27-Jun-2024,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=947ce1c90ce987b74b8908e5ac8c8886_D(2024)4144-DC.pdf,27-Jun-2024
104,Boric acid,EC No. 233-139-2 and EC No. 234-343-4,,,18-Jun-2010,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=a38885b6ee96a3d19630e2d714797433_ed_30_2010_en.pdf,18-Jun-2010
105,Bumetrizole (UV-326),,223-445-4,3896-11-5,23-Jan-2024,vPvB (Article 57e),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=2be0114552bcd6ab53dfa6b3c1c5c426_D(2023)8585-DC.pdf,23-Jan-2024
106,Butyl 4-hydroxybenzoate,,202-318-7,94-26-8,25-Jun-2020,Endocrine disrupting properties (Article 57(f) - human health),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=cbb43681b83136b1cac5152f9afeb53d_D(2020)4578-DC.pdf,25-Jun-2020
107,Cadmium,,231-152-8,7440-43-9,20-Jun-2013,"Carcinogenic (Article 57a)
Specific target organ toxicity after repeated exposure (Article 57(f) - human health)",https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=1f5de0c962f6d4dd7dcf349dde23295d_decision_cand_list_20120620_en.pdf,20-Jun-2013
108,Cadmium carbonate,,208-168-9,513-78-0,15-Jan-2018,"Carcinogenic (Article 57a)
Mutagenic (Article 57b)
Specific target organ toxicity after repeated exposure (Article 57(f) - human health)",https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=911cecaca0c74e5e062909add209fb73_SVHC_Decision_ED_01_2018.pdf,15-Jan-2018
109,Cadmium chloride,,233-296-7,10108-64-2,16-Jun-2014,"Carcinogenic (Article 57a)
Mutagenic (Article 57b)
Toxic for reproduction (Article 57c)
Specific target organ toxicity after repeated exposure (Article 57(f) - human health)",https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=8cc981dd316e742a416f85fbb391442a_ed_49_2014_cand_list_en.pdf,16-Jun-2014
110,Cadmium fluoride,,232-222-0,7790-79-6,17-Dec-2014,"Carcinogenic (Article 57a)
Mutagenic (Article 57b)
Toxic for reproduction (Article 57c)
Specific target organ toxicity after repeated exposure (Article 57(f) - human health)",https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=b8d56e702c1c6685115b842d026d0304_ed_108_2014_cand_list_en.pdf,17-Dec-2014
111,Cadmium hydroxide,,244-168-5,21041-95-2,15-Jan-2018,"Carcinogenic (Article 57a)
Mutagenic (Article 57b)
Specific target organ toxicity after repeated exposure (Article 57(f) - human health)",https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=05edd37161c98888bfe1a96cbdf68def_SVHC_Decision_ED_01_2018.pdf,15-Jan-2018
112,Cadmium nitrate,,233-710-6,10325-94-7,15-Jan-2018,"Carcinogenic (Article 57a)
Mutagenic (Article 57b)
Specific target organ toxicity after repeated exposure (Article 57(f) - human health)",https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=b610698a891eb283bd9544db98adc535_SVHC_Decision_ED_01_2018.pdf,15-Jan-2018
113,Cadmium oxide,,215-146-2,1306-19-0,20-Jun-2013,"Carcinogenic (Article 57a)
Specific target organ toxicity after repeated exposure (Article 57(f) - human health)",https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=9629fe501f0231366773ca0cc1ff4d64_decision_cand_list_20120620_en.pdf,20-Jun-2013
114,"Cadmium sulphate
Cadmium sulphate",,"233-331-6
233-331-6","10124-36-4
31119-53-6",17-Dec-2014,"Carcinogenic (Article 57a)
Mutagenic (Article 57b)
Toxic for reproduction (Article 57c)
Specific target organ toxicity after repeated exposure (Article 57(f) - human health)",https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=02242ab26bae43045afe517cea2a130a_ed_108_2014_cand_list_en.pdf,17-Dec-2014
115,Cadmium sulphide,,215-147-8,1306-23-6,16-Dec-2013,"Carcinogenic (Article 57a)
Specific target organ toxicity after repeated exposure (Article 57(f) - human health)",https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=1b184771ac97b15e60ea02823248f36f_ed_121_2013_cand_list_en.pdf,16-Dec-2013
116,Calcium arsenate,,231-904-5,7778-44-1,19-Dec-2011,Carcinogenic (Article 57a),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=32ee0a35e43fc1624f2c7e2aaaaee5b7_ed_77_2011_en.pdf,19-Dec-2011
117,Chromium trioxide,,215-607-8,1333-82-0,15-Dec-2010,"Carcinogenic (Article 57a)
Mutagenic (Article 57b)",https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=6fe1c16a9a90c0b06433a6457cbd429e_ed_95_2010_en.pdf,15-Dec-2010
118,Chrysene,,205-923-4,218-01-9,15-Jan-2018,"Carcinogenic (Article 57a)
PBT (Article 57d)
vPvB (Article 57e)",https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=8864f56510b1db1466f84fb1eec98fcb_SVHC_Decision_ED_01_2018.pdf,15-Jan-2018
119,Cobalt dichloride,,231-589-4,7646-79-9,28-Oct-2008,"Carcinogenic (Article 57a)
Toxic for reproduction (Article 57c)","https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=29143b8b0f32bee64a88c5b6462387d7_ed_67_2008_en.pdf
https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=a65fdefc24cfb7aca3100565de1fa28a_ed_31_2011_en.pdf",20-Jun-2011 | 28-Oct-2008
120,Cobalt(II) carbonate,,208-169-4,513-79-1,15-Dec-2010,"Carcinogenic (Article 57a)
Toxic for reproduction (Article 57c)",https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=d88c29d4809f17bdbb4cb1af5def0fcd_ed_95_2010_en.pdf,15-Dec-2010
121,Cobalt(II) diacetate,,200-755-8,71-48-7,15-Dec-2010,"Carcinogenic (Article 57a)
Toxic for reproduction (Article 57c)",https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=b0cda4450c2f7799b41f229c52d68bc7_ed_95_2010_en.pdf,15-Dec-2010
122,Cobalt(II) dinitrate,,233-402-1,10141-05-6,15-Dec-2010,"Carcinogenic (Article 57a)
Toxic for reproduction (Article 57c)",https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=9766452b96ab436a785e209db9aa7c93_ed_95_2010_en.pdf,15-Dec-2010
123,Cobalt(II) sulphate,,233-334-2,10124-43-3,15-Dec-2010,"Carcinogenic (Article 57a)
Toxic for reproduction (Article 57c)",https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=30d0c90e798cf5aefc31f273b1330ea2_ed_95_2010_en.pdf,15-Dec-2010
124,"Cyclohexane-1,2-dicarboxylic anhydride",all possible combinations of the cis- and trans-isomers,,,19-Dec-2012,Respiratory sensitising properties (Article 57(f) - human health),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=8beaae6d800e9aa2418722bbe80d6aa6_decision_cand_list_20121219_en.pdf,19-Dec-2012
125,Decamethylcyclopentasiloxane,,208-764-9,541-02-6,27-Jun-2018,"PBT (Article 57d)
vPvB (Article 57e)",https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=dff4f44da06569ab9780d36a0d9fe3ed_ED_61_2018.pdf,27-Jun-2018
126,decamethyltetrasiloxane,,205-491-7,141-62-8,25-Jun-2025,vPvB (Article 57e),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=efe223263e76c34876dc27679ab8a19a_D(2025)4165-DC.pdf,25-Jun-2025
127,Diarsenic pentaoxide,,215-116-9,1303-28-2,28-Oct-2008,Carcinogenic (Article 57a),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=3390cc3ba8cd23d3ed36823f7bff140e_ed_67_2008_en.pdf,28-Oct-2008
128,Diarsenic trioxide,,215-481-4,1327-53-3,28-Oct-2008,Carcinogenic (Article 57a),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=0ac25f3e823da3c09c9206c0c8f9d166_ed_67_2008_en.pdf,28-Oct-2008
129,"Diazene-1,2-dicarboxamide (C,C'-azodi(formamide)) (ADCA)",,204-650-8,123-77-3,19-Dec-2012,Respiratory sensitising properties (Article 57(f) - human health),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=4df6a9c71a497388bac49bec1ffd423f_decision_cand_list_20121219_en.pdf,19-Dec-2012
130,Diboron trioxide,,215-125-8,1303-86-2,18-Jun-2012,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=ee11d5dfafe60a331cb7b6bdd8e7ee0f_ed_87_2012_en.pdf,18-Jun-2012
131,Dibutyl phthalate (DBP),,201-557-4,84-74-2,28-Oct-2008,"Toxic for reproduction (Article 57c)
Endocrine disrupting properties (Article 57(f) - environment)
Endocrine disrupting properties (Article 57(f) - human health)","https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=2f9dbfa15642288fdd15009774d48704_ed_67_2008_en.pdf
https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=b8f04aa766e1267264ccd4997a86b883_ED_30_2017.pdf
https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=b8f04aa766e1267264ccd4997a86b883_C_2017_4462_Commission_Implementing%20Decision.pdf
https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=7c55ec3e80de4f6664f1212e64825bb0_D(2023)8585-DC.pdf",07-Jul-2017 | 23-Jan-2024 | 28-Oct-2008
132,"Dibutylbis(pentane-2,4-dionato-O,O')tin",,245-152-0,22673-19-4,25-Jun-2020,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=4506489948a47babfe57f1683473a454_D(2020)4578-DC.pdf,25-Jun-2020
133,Dibutyltin dichloride (DBTC),,211-670-0,683-18-1,19-Dec-2012,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=500f1bb6bd55d22564663447f1d6ed84_decision_cand_list_20121219_en.pdf,19-Dec-2012
134,Dichromium tris(chromate),,246-356-2,24613-89-6,19-Dec-2011,Carcinogenic (Article 57a),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=9a77ef05175f5c7adc9258906ba17a7f_ed_77_2011_en.pdf,19-Dec-2011
135,Dicyclohexyl phthalate,,201-545-9,84-61-7,27-Jun-2018,"Toxic for reproduction (Article 57c)
Endocrine disrupting properties (Article 57(f) - human health)",https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=635cd197ea8ed90c6456d51351809c2d_ED_61_2018.pdf,27-Jun-2018
136,Diethyl sulphate,,200-589-6,64-67-5,19-Dec-2012,"Carcinogenic (Article 57a)
Mutagenic (Article 57b)",https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=1b5d50b897ff1cf60a01214abc159dfd_decision_cand_list_20121219_en.pdf,19-Dec-2012
137,Dihexyl phthalate,,201-559-5,84-75-3,16-Dec-2013,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=bf865b7009a635efd80a148df213136d_ed_121_2013_cand_list_en.pdf,16-Dec-2013
138,Diisobutyl phthalate,,201-553-2,84-69-5,13-Jan-2010,"Toxic for reproduction (Article 57c)
Endocrine disrupting properties (Article 57(f) - environment)","https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=5e221f7c581d4d6aab75cee641f15307_eu_2017_1210.pdf
https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=5321b55210c4c3d5779aaa79bf34e17a_ed_68_2009_en.pdf",07-Jul-2017 | 13-Jan-2010
139,Diisohexyl phthalate,,276-090-2,71850-09-4,16-Jan-2020,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=2a452458120ec35ac6c7774783f590fe_ECHA_01_2020.pdf,16-Jan-2020
140,Diisopentyl phthalate,,210-088-4,605-50-5,19-Dec-2012,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=45c4d017739e8a9b9c9dd7d9eb6b60ed_decision_cand_list_20121219_en.pdf,19-Dec-2012
141,Dimethyl sulphate,,201-058-1,77-78-1,19-Dec-2012,Carcinogenic (Article 57a),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=078f3753e13dfdd193b12c020ca55961_decision_cand_list_20121219_en.pdf,19-Dec-2012
142,"Dinoseb (6-sec-butyl-2,4-dinitrophenol)",,201-861-7,88-85-7,19-Dec-2012,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=2718d6bf25cb747465f546cb1e306936_decision_cand_list_20121219_en.pdf,19-Dec-2012
143,"Dioctyltin dilaurate, stannane, dioctyl-, bis(coco acyloxy) derivs., and any other stannane, dioctyl-, bis(fatty acyloxy) derivs. wherein C12 is the predominant carbon number of the fatty acyloxy moiety",,,,19-Jan-2021,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=4fcadd88da6ab13d99557517ca52f3ef_D(2020)9139-DC.pdf,19-Jan-2021
144,Dioxobis(stearato)trilead,,235-702-8,12578-12-0,19-Dec-2012,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=eec9fb0e2be4c8724e5b50a056c8e98f_decision_cand_list_20121219_en.pdf,19-Dec-2012
145,Dipentyl phthalate (DPP),,205-017-9,131-18-0,20-Jun-2013,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=080a28d56b754f1a9fdddf24d187ae3c_decision_cand_list_20120620_en.pdf,20-Jun-2013
146,"diphenyl(2,4,6-trimethylbenzoyl)phosphine oxide",,278-355-8,75980-60-8,14-Jun-2023,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=d389fcdb3f9be5c523b37ef3c97d3b3e_D(2023)3788-DC.pdf,14-Jun-2023
147,"Disodium 3,3'-[[1,1'-biphenyl]-4,4'-diylbis(azo)]bis(4-aminonaphthalene-1-sulphonate) (C.I. Direct Red 28)",,209-358-4,573-58-0,16-Dec-2013,Carcinogenic (Article 57a),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=59c96708d2126389e0158e67a2a989ac_ed_121_2013_cand_list_en.pdf,16-Dec-2013
148,"Disodium 4-amino-3-[[4'-[(2,4-diaminophenyl)azo][1,1'-biphenyl]-4-yl]azo] -5-hydroxy-6-(phenylazo)naphthalene-2,7-disulphonate (C.I. Direct Black 38)",,217-710-3,1937-37-7,16-Dec-2013,Carcinogenic (Article 57a),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=4a4ea089fbdbb86a38b65a67ac416417_ed_121_2013_cand_list_en.pdf,16-Dec-2013
149,Disodium octaborate,,234-541-0,12008-41-2,27-Jun-2018,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=87a85fefc5bffd918a0273ea481d8bc6_ED_61_2018.pdf,27-Jun-2018
150,"Disodium tetraborate, anhydrous
Disodium tetraborate, anhydrous
Disodium tetraborate, anhydrous",,"215-540-4
215-540-4
215-540-4","12179-04-3
1303-96-4
1330-43-4",18-Jun-2010,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=db0ecbd7123c0151e83a694bb86e6a9b_ed_30_2010_en.pdf,18-Jun-2010
151,Dodecamethylcyclohexasiloxane,,208-762-8,540-97-6,27-Jun-2018,"PBT (Article 57d)
vPvB (Article 57e)",https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=c612687c5330abca22c40c51ce2ad496_ED_61_2018.pdf,27-Jun-2018
152,Ethylenediamine,,203-468-6,107-15-3,27-Jun-2018,Respiratory sensitising properties (Article 57(f) - human health),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=dc5e9e7e5320af1db5089d5225d31f8a_ED_61_2018.pdf,27-Jun-2018
153,"Fatty acids, C16-18, lead salts",,292-966-7,91031-62-8,19-Dec-2012,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=8e079f861a0739b61c7fd54ccf04ce5a_decision_cand_list_20121219_en.pdf,19-Dec-2012
154,Fluoranthene,,205-912-4,206-44-0,15-Jan-2019,"PBT (Article 57d)
vPvB (Article 57e)",https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=d56ad97b07d665177bcf370e99bc48ea_ED_88_2018.pdf,15-Jan-2019
155,"Formaldehyde, oligomeric reaction products with aniline",,500-036-1,25214-70-4,19-Dec-2011,Carcinogenic (Article 57a),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=c8df55ae82074ce6cbe7e181a7159407_ed_77_2011_en.pdf,19-Dec-2011
156,Formamide,,200-842-0,75-12-7,18-Jun-2012,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=bf9ff16c795a2ff3cba8aa0aa01df238_ed_87_2012_en.pdf,18-Jun-2012
157,Furan,,203-727-3,110-00-9,19-Dec-2012,Carcinogenic (Article 57a),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=5c0ade2a7ac32e68b0a4b011e1ab45a3_decision_cand_list_20121219_en.pdf,19-Dec-2012
158,glutaral,,203-856-5,111-30-8,08-Jul-2021,Respiratory sensitising properties (Article 57(f) - human health),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=040b443fd53b13f0050e36913fb387f8_D(2021)4569-DC.pdf,08-Jul-2021
159,Henicosafluoroundecanoic acid,,218-165-4,2058-94-8,19-Dec-2012,vPvB (Article 57e),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=33cf04e3a28fc3083baa987e695a40ab_decision_cand_list_20121219_en.pdf,19-Dec-2012
160,Heptacosafluorotetradecanoic acid,,206-803-4,376-06-7,19-Dec-2012,vPvB (Article 57e),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=810f71a81c852c11fe8d9199fe8a216e_decision_cand_list_20121219_en.pdf,19-Dec-2012
161,Hexabromocyclododecane (HBCDD),and all major diastereoisomers identified,,,28-Oct-2008,PBT (Article 57d),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=c7cb41b853e8e242b6a3ffd81891d73b_ed_67_2008_en.pdf,28-Oct-2008
