文件	Section0 0.1 页眉	Section0 物料安全数据表	Section0 Version	Section0 产品名称	Section0 0.2 页脚	Section0 公司名称	Section0 产品型号	Section0 修订日期	Section0 页码	Section1 1.1 产品名称	Section1 中文名称	Section1 化学品分类	Section1 1.2 产品使用建议和使用限制	Section1 供应商名称	Section1 供应商地址	Section1 电话	Section1 传真	Section2 2.1 物质或混合物的分类	Section2 GHS危险性类别	Section2 GHS分类	Section2 象形图	Section2 物质或混合物分类	Section2 2.2 标签要素	Section2 GHS象形图	Section2 警示词	Section2 危险象形标记	Section2 危险性说明	Section2 GHS-象形图	Section2 警告词	Section2 CHS危险性类别	Section2 根据GHS不属于危害化学品	Section2 特殊字段	Section2 危害性说明	Section2 防范说明	Section2 预防措施	Section2 2.3 其他危险	Section2 事故响应	Section2 入眼睛	Section2 安全储存	Section2 吸入	Section2 食入	Section2 物理和化学危险	Section2 泄露	Section2 废弃处置	Section2 灭火	Section2 可能造成皮肤过敏反应。 造成严重眼损伤。 吞咽有害。 长期或重复接触可能对器官造成伤害。 可能的接触途径	Section2 安全存储	Section2 健康危害	Section2 没有分类的其他危害	Section2 物理化学危险	Section2 GHS 危险性类别	Section2 环境危害	Section2 急性毒性 (经口) 类别 4	Section2 皮肤腐蚀/刺激 类别 1B	Section2 重眼损伤/眼刺激 类别 1	Section2 皮肤致敏物 类别 1	Section2 急性水生毒性 类别 3	Section2 慢性水生毒性 类别 3	Section3 3.1 产品类型	Section3 3.2 成分	Section3 羟基丙烯酸酯聚合物GHS危险性分类	Section3 成分1-名称	Section3 成分1-CAS	Section3 成分1-含量	Section3 请注意以下物质	Section3 成分2-名称	Section3 成分2-CAS	Section3 成分2-含量	Section3 GHS分类	Section3 成分3-名称	Section3 成分3-CAS	Section3 成分3-含量	Section3 特定阈值浓度≥5%	Section3 成分4-名称	Section3 成分4-CAS	Section3 成分4-含量	Section3 成分5-名称	Section3 成分5-CAS	Section3 成分5-含量	Section4 4.1 一般措施	Section4 4.2 误服	Section4 4.3 接触眼睛	Section4 4.4 接触皮肤	Section4 4.5 吸入	Section5 5.1 合适的灭火剂	Section5 5.2 不合适的灭火剂	Section5 5.3 物质或混合物的特殊危害	Section5 5.4 消防预防措施和保护设备	Section6 6.1 个人预防措施、应急程序	Section6 6.2 环境保护措施	Section6 6.3 污染物收集和清除的方法	Section7 7.1 安全操作防范	Section7 7.2 安全储存条件	Section8 8.1 控制参数	Section8 特殊字段	Section8 8.1~8.2 暴露控制	Section8 呼吸系统防护	Section8 手部防护	Section8 防护手套的合适材料	Section8 氟化橡胶 –FKM	Section8 丁基橡胶 –IIR	Section8 丁腈橡胶 – NBR	Section8 建议	Section8 眼睛防护	Section8 身体防护	Section9 9.1 外观	Section9 9.1 外 观	Section9 9.2 分子量	Section9 9.2 嗅觉阀值	Section9 9.3 水中溶解度	Section9 9.3 pH值（5%水溶液）	Section9 9.3 pH值（10%水溶液）	Section9 9.3 pH值	Section9 9.3 pH值（1%水溶液）	Section9 9.4 蒸发速度（醋酸丁酯-1）	Section9 9.4 离子性	Section9 9.4~9.5 初沸点	Section9 9.5 蒸汽压（25℃）	Section9 9.5 酸值	Section9 9.5~9.6 闪点	Section9 9.6 蒸汽压（20℃，Kpa）	Section9 9.6 表面张力（10%水溶液）	Section9 9.6 碘值	Section9 9.7 最低初沸点（℃）	Section9 9.7 可燃性	Section9 9.5, 9.7~9.8 可燃性（固态、气态）	Section9 9.8 闪点（℃）	Section9 9.8 比重	Section9 9.6~9.9 燃烧值	Section9 9.9 PH值	Section9 9.8~9.11 相对蒸气密度	Section9 9.6~9.7, 9.11, 9.13 蒸发速率	Section9 9.5, 9.8, 9.10~9.11 相对密度	Section9 9.10 APHA值	Section9 9.10 饱和蒸气压	Section9 9.7, 9.9~9.13 水溶性	Section9 9.10~9.12 密度	Section9 9.8, 9.10~9.12 粘度/25℃	Section9 9.9, 9.11~9.14 表面张力	Section9 9.12 着火点	Section9 9.10, 9.12~9.14 辛醇/水分配系数的对数值	Section9 9.13 含量	Section9 9.11~9.16 自燃温度	Section9 9.14 百分比挥发性	Section9 9.11~9.17 引燃温度	Section9 9.12~9.15, 9.17~9.18 分解温度	Section9 9.15 辛醇/水分配系数对数值	Section9 9.14~9.16, 9.19~9.20 爆炸特性	Section9 9.17~9.18 有效成分	Section9 9.16~9.19 动力粘度	Section9 9.15~9.17, 9.20~9.21 粉尘爆炸级别	Section9 9.16~9.18, 9.21~9.22 固体含量	Section9 9.14, 9.17~9.19, 9.22~9.23 其他信息	Section10 10.1 化学稳定性	Section10 10.2 危险分解产物	Section10 10.3 可能的危害反应	Section11 特殊字段	Section11 特殊字段 (2)	Section11 11.1 急性毒性	Section11 11.2 主要皮肤刺激性	Section11 11.3 主要眼睛刺激性	Section11 11.4 致敏性	Section11 11.5 致突变性	Section11 11.6 致癌性	Section11 11.7 生殖毒性	Section11 11.8 特异性靶器官系统毒性	Section11 11.9 吸入危险	Section11 11.10 附加信息	Section12 12.1 毒性	Section12 12.1 生态毒性	Section12 急性鱼类毒性	Section12 12.3 其他	Section12 急性水生毒性	Section12 12.2 持久性和降解性	Section12 急性水溞毒性	Section12 氢化甲醛与苯胺的聚合物 LC 50 (孔雀鱼, 96 h)	Section12 聚醚二胺 LC 50 (Leuciscus idus (高体雅罗鱼), 96 h)	Section12 急性藻类毒性	Section12 端点	Section12 物种	Section12 氢化甲醛与苯胺的聚合物 EC50 (水蚤, 48 h)	Section12 试验周期	Section12 聚醚二胺 EC50 (水蚤, 48 h)	Section12 水生无脊椎动物	Section12 氢化甲醛与苯胺的聚合物 EC50 (Desmodesmus subspicatus (绿藻), 72 h)	Section12 方法	Section12 急性细菌毒性	Section12 聚醚二胺 EC50 (海藻, 71 h)	Section12 测试种类	Section12 对水生植物的毒性	Section12 慢性水生毒性	Section12 对微生物的毒性	Section12 组分	Section12 生物降解性	Section12 接种体	Section12 产品	Section12 12.3 生物蓄积性	Section12 特殊字段	Section12 12.4 土壤中的迁移	Section12 生物降解	Section12 特殊字段 (2)	Section12 特殊字段 (3)	Section12 BOD/COD 比值	Section12 12.6 其它不利的影响	Section12 特殊字段 (4)	Section12 潜在的生物累积性	Section12 特殊字段 (5)	Section12 生物富集系数 (BCF)	Section12 请参阅以下数据	Section12 12.5 PBT 和 vPvB 评估结果	Section12 氢化甲醛与苯胺的聚合物 Log Kow	Section12 土壤中的迁移性	Section12 其它不良影响	Section13 特殊字段	Section13 废弃处理方法	Section13 特殊字段 (2)	Section13 污染包装物	Section13 处理方法	Section14 14.1 公路和铁路运输	Section14 14.1 联合国编号 UN number	Section14 14.2 海上运输	Section14 14.2 联合国运输名称 UN proper shipping name	Section14 14.3 空运	Section14 14.3 运输危险类别 Transport hazard class(es)	Section14 14.4 用户特殊注意事项	Section14 14.4 包裹组Packaging group	Section14 14.5 环境危害 Environmental hazards	Section14 14.6 特殊防范措施 Special precautions for user	Section15 特殊字段	Section15 其它的规定	Section15 符合下列法规要求	Section16 特殊字段
2-苯氧基乙醇 msds_CN 冠志.docx			1.0	2-苯氧基乙醇		广州冠志化工有限公司	2-苯氧基乙醇	2023-9-27	5 / 5	2-苯氧基乙醇	2-苯氧基乙醇		涂料用添加剂	广州冠志化工有限公司	广州市萝岗区科学城掬泉路3号广州国际企业孵化器A区1106室	86-20-82567990	86-20-32214789			根据GHS不属于危险物				根据GHS不属于危险物																																			混合物			2-苯氧基乙醇	122-99-6	99																立即脱掉所有被污染的衣物。	禁止催吐，须就医。	撑开眼睑，用温水长时间冲洗（至少10分钟），就诊眼科医生。	立即用肥皂和大量的水冲洗。若发生皮肤反应，就医	若刺激呼吸道，就医。	二氧化碳（CO2），泡沫，灭火粉末，大火时应用喷洒水	高流量的水喷射	燃烧时释放一氧化碳、二氧化碳、氮氧化物和少量的氰化氢⏎在着火或爆炸情况下，不要吸进烟尘。	消防人员必须佩戴自供气式呼吸器。⏎禁止污染的灭火用水流入土壤，地下水或地表水中。	戴防护设备。⏎确保充分的通风/排气。令未授权人员离开。	禁止排入下水道，废水或土壤中。	用化学品吸收材料或必要时用干沙收集，并储存与密闭容器中。	操作时遵守化学品的常见预防措施。避免与皮肤和眼睛接触。⏎远离食物、饮料和烟草。休息以前和工作结束时洗手。将工作服单独存放。⏎更换被污染或浸湿的衣物	容器保持紧闭，存储在干燥通风处。为保持产品质量，必须遵守我们产品信息表的储存条件。		根据EC指令2006/121/EG,无可用的接触限值信息		喷涂过程中要求有呼吸防护设备。			厚度≧0.4mm；穿透时间≧480min.	厚度≧0.5mm；穿透时间≧480min.	厚度≧0.35mm；穿透时间≧480min.	污染的手套应废弃。	建议使用护目镜。	穿着适当的防护服。	无色透明液体		138.16		微溶于水					<0.01						5.2			242			121			无数据			1.11	无数据								≧99			无数据	无数据							上述数据非产品指标，产品指标请参见产品技术信息表。	根据规范使用，不会发生分解。	在热分解过程中生成易燃有害气体。	正确储存或操作时，无危害反应。	该产品无可用的毒理学研究。	类似产品的风险评估数据：	经口：半数致死剂量（LD50）大鼠：＞2，000mg/kg	无刺激	轻微刺激	皮肤接触不致敏	在AMES试验中无致突变性。							该产品无可用的生态毒理学研究。禁止排入下水道，废水或土壤中。		根据生态毒理学资料，该产品被划分为对鱼类和水蚤无害类。		该产品不易生物降解。																																								必需遵守适用的国标、国家或当地法规进行废弃。		在欧盟领域内废弃，应根据欧洲废弃物分类（EWC）的适当法规。		尽可能将容器倒空（例如经倾倒，刮擦或排干直至“滴干”）⏎可根据化学工业现存的回收方案送往适当的收集点处理。⏎容器应按照国家法令和环境相关法规进行回收。⏎不能将废弃物通过废水排放。	非危险品陆运输方式，符合ADG准则。		非危险品海运方式，符合IMDG准则。		非危险品运输方式，符合IATA准则。		非危险货物。				物质或混合物的相关安全、健康和环保法律法规		危险化学品安全管理条例，国务院令591号⏎GB/T 16483 化学品安全技术说明书内容和项目顺序⏎GB 13690 化学品分类和危险性公示通则⏎GB 30000.2-29 化学品分类和标签规范⏎GB 15258 化学品安全标签编写规定	就我们所掌握的知识信息，截止本安全技术说明书发布之日，它提供的资料是正确的。所提供的信息仅仅作为安全处理，使用，生产，储存，运输，处置和排放的指导书，而不是一份担保或品质说明书。本资料只针对所指定的具体物料，而对这种物料与其它物料混合使用或在其它制程中使用的情况，则未必有效（除非在文本中有特别说明）。
AMP-95 msds-CN-冠志.docx			1.0	AMP-95		广州冠志新材料科技有限公司	AMP-95	2023/9/27	5 / 5	AMP-95	多功能助剂	甲基醇胺类有机物	涂料用添加剂	广州冠志新材料科技有限公司	广州市萝岗区科学城掬泉路3号广州国际企业孵化器A区1106室	86-20-82567990	86-20-32214789			根据GHS不属于危险物				根据GHS不属于危险物																																			混合物			甲基醇胺类有机物	商业机密	95±1																立即脱掉所有被污染的衣物。	禁止催吐，须就医。	撑开眼睑，用温水长时间冲洗（至少10分钟），就诊眼科医生。	立即用肥皂和大量的水冲洗。若发生皮肤反应，就医	若刺激呼吸道，就医。	二氧化碳（CO2），泡沫，灭火粉末，大火时应用喷洒水	高流量的水喷射	燃烧时释放一氧化碳、二氧化碳、氮氧化物和少量的氰化氢⏎在着火或爆炸情况下，不要吸进烟尘。	消防人员必须佩戴自供气式呼吸器。⏎禁止污染的灭火用水流入土壤，地下水或地表水中。	戴防护设备。⏎确保充分的通风/排气。令未授权人员离开。	禁止排入下水道，废水或土壤中。	用化学品吸收材料或必要时用干沙收集，并储存与密闭容器中。	操作时遵守化学品的常见预防措施。避免与皮肤和眼睛接触。⏎远离食物、饮料和烟草。休息以前和工作结束时洗手。将工作服单独存放。⏎更换被污染或浸湿的衣物	容器保持紧闭，存储在干燥通风处。为保持产品质量，必须遵守我们产品信息表的储存条件。		根据EC指令2006/121/EG,无可用的接触限值信息		喷涂过程中要求有呼吸防护设备。			厚度≧0.4mm；穿透时间≧480min.	厚度≧0.5mm；穿透时间≧480min.	厚度≧0.35mm；穿透时间≧480min.	污染的手套应废弃。	建议使用护目镜。	穿着适当的防护服。	无色或淡黄色透明液体			无数据		10-12					不适用				78°C		55dynes/cm							不适用				0.942			完全混溶		<500mPa.S	无数据		无数据		不适用		无数据	无数据		无数据			不适用	95%±1	上述数据非产品指标，产品指标请参见产品技术信息表。	根据规范使用，不会发生分解。	在热分解过程中生成易燃有害气体。	正确储存或操作时，无危害反应。	该产品无可用的毒理学研究。	类似产品的风险评估数据：	经口：半数致死剂量（LD50）大鼠：＞2，000mg/kg	无刺激	轻微刺激	皮肤接触不致敏	在AMES试验中无致突变性。							该产品无可用的生态毒理学研究。禁止排入下水道，废水或土壤中。		根据生态毒理学资料，该产品被划分为对鱼类和水蚤无害类。		该产品不易生物降解。																																								必需遵守适用的国标、国家或当地法规进行废弃。		在欧盟领域内废弃，应根据欧洲废弃物分类（EWC）的适当法规。		尽可能将容器倒空（例如经倾倒，刮擦或排干直至“滴干”）⏎可根据化学工业现存的回收方案送往适当的收集点处理。⏎容器应按照国家法令和环境相关法规进行回收。⏎不能将废弃物通过废水排放。	非危险品陆运输方式，符合ADG准则。		非危险品海运方式，符合IMDG准则。		非危险品运输方式，符合IATA准则。		非危险货物。				物质或混合物的相关安全、健康和环保法律法规		危险化学品安全管理条例，国务院令591号⏎GB/T 16483 化学品安全技术说明书内容和项目顺序⏎GB 13690 化学品分类和危险性公示通则⏎GB 30000.2-29 化学品分类和标签规范⏎GB 15258 化学品安全标签编写规定	就我们所掌握的知识信息，截止本安全技术说明书发布之日，它提供的资料是正确的。所提供的信息仅仅作为安全处理，使用，生产，储存，运输，处置和排放的指导书，而不是一份担保或品质说明书。本资料只针对所指定的具体物料，而对这种物料与其它物料混合使用或在其它制程中使用的情况，则未必有效（除非在文本中有特别说明）。
BEK-100L msds_CN 冠志.docx			1.0	BEK-100L		广州冠志新材料科技有限公司	BEK-100L	2023-9-27	5 / 5	BEK-100L	水性防腐防霉杀菌剂	苯并异噻唑啉酮（BIT）	涂料用添加剂	广州冠志新材料科技有限公司	广州市萝岗区科学城掬泉路3号广州国际企业孵化器A区1106室	86-20-82567990	86-20-32214789			根据GHS不属于危险物				根据GHS不属于危险物																																			混合物			苯并异噻唑啉酮(BIT)	商业机密	≥10																立即脱掉所有被污染的衣物。	禁止催吐，须就医。	撑开眼睑，用温水长时间冲洗（至少10分钟），就诊眼科医生。	立即用肥皂和大量的水冲洗。若发生皮肤反应，就医	若刺激呼吸道，就医。	二氧化碳（CO2），泡沫，灭火粉末，大火时应用喷洒水	高流量的水喷射	燃烧时释放一氧化碳、二氧化碳、氮氧化物和少量的氰化氢⏎在着火或爆炸情况下，不要吸进烟尘。	消防人员必须佩戴自供气式呼吸器。⏎禁止污染的灭火用水流入土壤，地下水或地表水中。	戴防护设备。⏎确保充分的通风/排气。令未授权人员离开。	禁止排入下水道，废水或土壤中。	用化学品吸收材料或必要时用干沙收集，并储存与密闭容器中。	操作时遵守化学品的常见预防措施。避免与皮肤和眼睛接触。⏎远离食物、饮料和烟草。休息以前和工作结束时洗手。将工作服单独存放。⏎更换被污染或浸湿的衣物	容器保持紧闭，存储在干燥通风处。为保持产品质量，必须遵守我们产品信息表的储存条件。		根据EC指令2006/121/EG,无可用的接触限值信息		喷涂过程中要求有呼吸防护设备。		EN 374-3	厚度≧0.4mm；穿透时间≧480min.	厚度≧0.5mm；穿透时间≧480min.	厚度≧0.35mm；穿透时间≧480min.	污染的手套应废弃。	建议使用护目镜。	穿着适当的防护服。	黄色透明液体			轻微刺激气味			13-15				非离子	100℃			不适用						不适用					无数据	<1.00				完全混溶		<500mPa.S					不适用		无数据	无数据		无数据	≥10%		不适用		上述数据非产品指标，产品指标请参见产品技术信息表。	根据规范使用，不会发生分解。	在热分解过程中生成易燃有害气体。	正确储存或操作时，无危害反应。	该产品无可用的毒理学研究。	类似产品的风险评估数据：	经口：半数致死剂量（LD50）大鼠：＞2，000mg/kg	无刺激	轻微刺激	皮肤接触不致敏	在AMES试验中无致突变性。							该产品无可用的生态毒理学研究。禁止排入下水道，废水或土壤中。		根据生态毒理学资料，该产品被划分为对鱼类和水蚤无害类。		该产品不易生物降解。																																								必需遵守适用的国标、国家或当地法规进行废弃。		在欧盟领域内废弃，应根据欧洲废弃物分类（EWC）的适当法规。		尽可能将容器倒空（例如经倾倒，刮擦或排干直至“滴干”）⏎可根据化学工业现存的回收方案送往适当的收集点处理。⏎容器应按照国家法令和环境相关法规进行回收。⏎不能将废弃物通过废水排放。	非危险品陆运输方式，符合ADG准则。		非危险品海运方式，符合IMDG准则。		非危险品运输方式，符合IATA准则。		非危险货物。				物质或混合物的相关安全、健康和环保法律法规		危险化学品安全管理条例，国务院令591号⏎GB/T 16483 化学品安全技术说明书内容和项目顺序⏎GB 13690 化学品分类和危险性公示通则⏎GB 30000.2-29 化学品分类和标签规范⏎GB 15258 化学品安全标签编写规定	就我们所掌握的知识信息，截止本安全技术说明书发布之日，它提供的资料是正确的。所提供的信息仅仅作为安全处理，使用，生产，储存，运输，处置和排放的指导书，而不是一份担保或品质说明书。本资料只针对所指定的具体物料，而对这种物料与其它物料混合使用或在其它制程中使用的情况，则未必有效（除非在文本中有特别说明）。
BEK-200 msds_CN 冠志.docx			1.0	BEK-200		广州冠志新材料科技有限公司	BEK-200	2023-9-27	5 / 5	BEK-200	水性防腐防霉杀菌剂	苯并异噻唑啉酮（BIT）	涂料用添加剂	广州冠志新材料科技有限公司	广州市萝岗区科学城掬泉路3号广州国际企业孵化器A区1106室	86-20-82567990	86-20-32214789			根据GHS不属于危险物				根据GHS不属于危险物																																			混合物			苯并异噻唑啉酮(BIT)	2634-33-5	≥20																立即脱掉所有被污染的衣物。	禁止催吐，须就医。	撑开眼睑，用温水长时间冲洗（至少10分钟），就诊眼科医生。	立即用肥皂和大量的水冲洗。若发生皮肤反应，就医	若刺激呼吸道，就医。	二氧化碳（CO2），泡沫，灭火粉末，大火时应用喷洒水	高流量的水喷射	燃烧时释放一氧化碳、二氧化碳、氮氧化物和少量的氰化氢⏎在着火或爆炸情况下，不要吸进烟尘。	消防人员必须佩戴自供气式呼吸器。⏎禁止污染的灭火用水流入土壤，地下水或地表水中。	戴防护设备。⏎确保充分的通风/排气。令未授权人员离开。	禁止排入下水道，废水或土壤中。	用化学品吸收材料或必要时用干沙收集，并储存与密闭容器中。	操作时遵守化学品的常见预防措施。避免与皮肤和眼睛接触。⏎远离食物、饮料和烟草。休息以前和工作结束时洗手。将工作服单独存放。⏎更换被污染或浸湿的衣物	容器保持紧闭，存储在干燥通风处。为保持产品质量，必须遵守我们产品信息表的储存条件。		根据EC指令2006/121/EG,无可用的接触限值信息		喷涂过程中要求有呼吸防护设备。		EN 374-3	厚度≧0.4mm；穿透时间≧480min.	厚度≧0.5mm；穿透时间≧480min.	厚度≧0.35mm；穿透时间≧480min.	污染的手套应废弃。	建议使用护目镜。	穿着适当的防护服。	淡黄色至褐色透明液体			轻微刺激气味			8-9				非离子	100℃			不适用						不适用					无数据	<1.00				完全混溶		<500mPa.S					不适用		无数据	无数据		无数据	10±1%		不适用		上述数据非产品指标，产品指标请参见产品技术信息表。	根据规范使用，不会发生分解。	在热分解过程中生成易燃有害气体。	正确储存或操作时，无危害反应。	该产品无可用的毒理学研究。	类似产品的风险评估数据：	经口：半数致死剂量（LD50）大鼠：＞2，000mg/kg	无刺激	轻微刺激	皮肤接触不致敏	在AMES试验中无致突变性。							该产品无可用的生态毒理学研究。禁止排入下水道，废水或土壤中。		根据生态毒理学资料，该产品被划分为对鱼类和水蚤无害类。		该产品不易生物降解。																																								必需遵守适用的国标、国家或当地法规进行废弃。		在欧盟领域内废弃，应根据欧洲废弃物分类（EWC）的适当法规。		尽可能将容器倒空（例如经倾倒，刮擦或排干直至“滴干”）⏎可根据化学工业现存的回收方案送往适当的收集点处理。⏎容器应按照国家法令和环境相关法规进行回收。⏎不能将废弃物通过废水排放。	非危险品陆运输方式，符合ADG准则。		非危险品海运方式，符合IMDG准则。		非危险品运输方式，符合IATA准则。		非危险货物。				物质或混合物的相关安全、健康和环保法律法规		危险化学品安全管理条例，国务院令591号⏎GB/T 16483 化学品安全技术说明书内容和项目顺序⏎GB 13690 化学品分类和危险性公示通则⏎GB 30000.2-29 化学品分类和标签规范⏎GB 15258 化学品安全标签编写规定	就我们所掌握的知识信息，截止本安全技术说明书发布之日，它提供的资料是正确的。所提供的信息仅仅作为安全处理，使用，生产，储存，运输，处置和排放的指导书，而不是一份担保或品质说明书。本资料只针对所指定的具体物料，而对这种物料与其它物料混合使用或在其它制程中使用的情况，则未必有效（除非在文本中有特别说明）。
BEK-200L msds_CN 冠志.docx			1.0	BEK-200L		广州冠志新材料科技有限公司	BEK-200L	2023-9-27	1 / 5	BEK-200L	水性防腐防霉杀菌剂	苯并异噻唑啉酮（BIT）	涂料用添加剂	广州冠志新材料科技有限公司	广州市萝岗区科学城掬泉路3号广州国际企业孵化器A区1106室	86-20-82567990	86-20-32214789			根据GHS不属于危险物				根据GHS不属于危险物																																			混合物			苯并异噻唑啉酮(BIT)	2634-33-5	≥20																立即脱掉所有被污染的衣物。	禁止催吐，须就医。	撑开眼睑，用温水长时间冲洗（至少10分钟），就诊眼科医生。	立即用肥皂和大量的水冲洗。若发生皮肤反应，就医	若刺激呼吸道，就医。	二氧化碳（CO2），泡沫，灭火粉末，大火时应用喷洒水	高流量的水喷射	燃烧时释放一氧化碳、二氧化碳、氮氧化物和少量的氰化氢⏎在着火或爆炸情况下，不要吸进烟尘。	消防人员必须佩戴自供气式呼吸器。⏎禁止污染的灭火用水流入土壤，地下水或地表水中。	戴防护设备。⏎确保充分的通风/排气。令未授权人员离开。	禁止排入下水道，废水或土壤中。	用化学品吸收材料或必要时用干沙收集，并储存与密闭容器中。	操作时遵守化学品的常见预防措施。避免与皮肤和眼睛接触。⏎远离食物、饮料和烟草。休息以前和工作结束时洗手。将工作服单独存放。⏎更换被污染或浸湿的衣物	容器保持紧闭，存储在干燥通风处。为保持产品质量，必须遵守我们产品信息表的储存条件。		根据EC指令2006/121/EG,无可用的接触限值信息		喷涂过程中要求有呼吸防护设备。		EN 374-3	厚度≧0.4mm；穿透时间≧480min.	厚度≧0.5mm；穿透时间≧480min.	厚度≧0.35mm；穿透时间≧480min.	污染的手套应废弃。	建议使用护目镜。	穿着适当的防护服。	淡黄色至黄色透明液体			轻微刺激气味			8-10				非离子	100℃			不适用						不适用					无数据	<1.00				完全混溶		<500mPa.S		375℃			不适用		无数据	无数据		无数据	20±1%		不适用		上述数据非产品指标，产品指标请参见产品技术信息表。	根据规范使用，不会发生分解。	在热分解过程中生成易燃有害气体。	正确储存或操作时，无危害反应。	该产品无可用的毒理学研究。	类似产品的风险评估数据：	经口：半数致死剂量（LD50）大鼠：＞2，000mg/kg	无刺激	轻微刺激	皮肤接触不致敏	在AMES试验中无致突变性。							该产品无可用的生态毒理学研究。禁止排入下水道，废水或土壤中。		根据生态毒理学资料，该产品被划分为对鱼类和水蚤无害类。		该产品不易生物降解。																																								必需遵守适用的国标、国家或当地法规进行废弃。		在欧盟领域内废弃，应根据欧洲废弃物分类（EWC）的适当法规。		尽可能将容器倒空（例如经倾倒，刮擦或排干直至“滴干”）⏎可根据化学工业现存的回收方案送往适当的收集点处理。⏎容器应按照国家法令和环境相关法规进行回收。⏎不能将废弃物通过废水排放。	非危险品陆运输方式，符合ADG准则。		非危险品海运方式，符合IMDG准则。		非危险品运输方式，符合IATA准则。		非危险货物。				物质或混合物的相关安全、健康和环保法律法规		危险化学品安全管理条例，国务院令591号⏎GB/T 16483 化学品安全技术说明书内容和项目顺序⏎GB 13690 化学品分类和危险性公示通则⏎GB 30000.2-29 化学品分类和标签规范⏎GB 15258 化学品安全标签编写规定	就我们所掌握的知识信息，截止本安全技术说明书发布之日，它提供的资料是正确的。所提供的信息仅仅作为安全处理，使用，生产，储存，运输，处置和排放的指导书，而不是一份担保或品质说明书。本资料只针对所指定的具体物料，而对这种物料与其它物料混合使用或在其它制程中使用的情况，则未必有效（除非在文本中有特别说明）。
BEK-500L msds_CN 冠志.docx			1.0	BEK-500L		广州冠志新材料科技有限公司	BEK-500L	2023-9-27	5 / 5	BEK-500L	水性防腐防霉杀菌剂	聚2-甲基-4-异噻唑啉-3-酮化合物⏎聚5-氯-2-甲基-4-异噻唑啉-3-酮化合物	涂料用添加剂	广州冠志新材料科技有限公司	广州市萝岗区科学城掬泉路3号广州国际企业孵化器A区1106室	86-20-82567990	86-20-32214789			根据GHS不属于危险物				根据GHS不属于危险物																																			混合物			聚2-甲基-4-异噻唑啉-3-酮	55965-84-9	0.75		聚5-氯-2-甲基-4-异噻唑啉-3-酮	96118-96-6	2.25												立即脱掉所有被污染的衣物。	禁止催吐，须就医。	撑开眼睑，用温水长时间冲洗（至少10分钟），就诊眼科医生。	立即用肥皂和大量的水冲洗。若发生皮肤反应，就医	若刺激呼吸道，就医。	二氧化碳（CO2），泡沫，灭火粉末，大火时应用喷洒水	高流量的水喷射	燃烧时释放一氧化碳、二氧化碳、氮氧化物和少量的氰化氢⏎在着火或爆炸情况下，不要吸进烟尘。	消防人员必须佩戴自供气式呼吸器。⏎禁止污染的灭火用水流入土壤，地下水或地表水中。	戴防护设备。⏎确保充分的通风/排气。令未授权人员离开。	禁止排入下水道，废水或土壤中。	用化学品吸收材料或必要时用干沙收集，并储存与密闭容器中。	操作时遵守化学品的常见预防措施。避免与皮肤和眼睛接触。⏎远离食物、饮料和烟草。休息以前和工作结束时洗手。将工作服单独存放。⏎更换被污染或浸湿的衣物	容器保持紧闭，存储在干燥通风处。为保持产品质量，必须遵守我们产品信息表的储存条件。		根据EC指令2006/121/EG,无可用的接触限值信息		喷涂过程中要求有呼吸防护设备。		EN 374-3	厚度≧0.4mm；穿透时间≧480min.	厚度≧0.5mm；穿透时间≧480min.	厚度≧0.35mm；穿透时间≧480min.	污染的手套应废弃。	建议使用护目镜。	穿着适当的防护服。	浅蓝色透明液体			轻微刺激气味				2-5			非离子	100℃			不适用						不适用			不适用		无数据	<1.00				完全混溶	1.05±0.05g/cm3	<500mPa.S					不适用	94-96% 水	无数据	无数据		无数据		＜500mPa.s	不适用	≧3%	上述数据非产品指标，产品指标请参见产品技术信息表。	根据规范使用，不会发生分解。	在热分解过程中生成易燃有害气体。	正确储存或操作时，无危害反应。	该产品无可用的毒理学研究。	类似产品的风险评估数据：	经口：半数致死剂量（LD50）大鼠：＞2，000mg/kg	无刺激	轻微刺激	皮肤接触不致敏	在AMES试验中无致突变性。							该产品无可用的生态毒理学研究。禁止排入下水道，废水或土壤中。		根据生态毒理学资料，该产品被划分为对鱼类和水蚤无害类。		该产品不易生物降解。																																								必需遵守适用的国标、国家或当地法规进行废弃。		在欧盟领域内废弃，应根据欧洲废弃物分类（EWC）的适当法规。		尽可能将容器倒空（例如经倾倒，刮擦或排干直至“滴干”）⏎可根据化学工业现存的回收方案送往适当的收集点处理。⏎容器应按照国家法令和环境相关法规进行回收。⏎不能将废弃物通过废水排放。	非危险品陆运输方式，符合ADG准则。		非危险品海运方式，符合IMDG准则。		非危险品运输方式，符合IATA准则。		非危险货物。				物质或混合物的相关安全、健康和环保法律法规		危险化学品安全管理条例，国务院令591号⏎GB/T 16483 化学品安全技术说明书内容和项目顺序⏎GB 13690 化学品分类和危险性公示通则⏎GB 30000.2-29 化学品分类和标签规范⏎GB 15258 化学品安全标签编写规定	就我们所掌握的知识信息，截止本安全技术说明书发布之日，它提供的资料是正确的。所提供的信息仅仅作为安全处理，使用，生产，储存，运输，处置和排放的指导书，而不是一份担保或品质说明书。本资料只针对所指定的具体物料，而对这种物料与其它物料混合使用或在其它制程中使用的情况，则未必有效（除非在文本中有特别说明）。
